iteration	change	metric_before	metric_after	decision	notes
1	Research status and gate audit	Latest MorphoRetarget status distributed across stale docs and mutable artifacts	Dated status report plus hash-bound E80 seed-0 stop artifact	keep	G0 not passed; mZf kill rule fires; no generated experiment directory overwritten
2	Dedicated foundation branch	MorphoRetarget work only in dirty main working tree	feat/morpho-retarget-foundation created with working tree preserved	keep	Commit waits for terminal verification and provenance hardening
3	HumanMotionSpec v0.1	No canonical human-motion/resampling contract	Strict provenance-bound 50 Hz motion schema; 13 focused tests pass	keep	Includes SLERP/cubic resampling, normalized buffer hash, segment extraction, probabilistic contacts, and root-height semantics
4	Backend worker provenance	Workers trusted mutable paths and omitted complete source states	Byte snapshots/materialized MJCF bundles plus SNMR/Newton/Isaac SHA and dirty fields; focused smoke passes	keep	MuJoCo worker hashes the exact NPZ bytes it loads and the 37-file referenced MJCF bundle
5	Kinematic graph-token contract	Legacy fixed-order 8D target conditioning	Variable-node padded tensors, separate 37D/full and availability/topology fields, tree bias, per-node limits; 9 focused tests pass	keep	Adversarial serialization permutation is exactly equivariant after inverse permutation; kinematic batches expose no live dynamics availability
6	PM01 conditioning diagnosis	29.59 cm LORO failure had no mechanism classification	Conditioning-insensitive ruled out; evidence leans coverage/nonsmooth identity-like code, exact localization inconclusive	keep	Original E06 checkpoint is missing; no semantic-vs-coverage claim without a registered rerun
7	Strict digest validation	RobotSpec/reports accepted nonhex 64-character strings	Required and optional digest fields reject nonhex values; 25 focused tests pass	keep	Applies to RobotSpec, verification reports, and Newton manifest input checks
8	G1 10k FK gate harness	No executable paired MJCF-to-PhysX maximum-error protocol	Deterministic 10000x29 MuJoCo reference reproduced bit-identically; live PhysX worker timed out before returning poses	keep	G0 fails closed: g0_evaluated=false and g0_pass=false; no offline URDF FK substituted
9	Adversarial contract hardening	Nominal tests missed hash overflow, invalid-frame interpolation, loose report coercion, NaN rollout states, and malformed robot trees	Float hashing/validity, RobotSpec physical validation, report parsing, non-finite rollout guards, interval coordinates, joint-frame binding, and no-overwrite outputs hardened; 84 focused tests pass, 3 skip	keep	Joint-frame fields change RobotSpec hashes and first-three feature semantics; no MorphoRetarget checkpoint depends on the pre-freeze layout
10	Shared verifier candidate contract	Backend-specific config hashes could not establish same-candidate equality	One canonical rollout contract hash is recomputed in both runners; MuJoCo/Newton smoke matches motion, asset bundle, controller, and candidate config hashes	keep	Newton 0.5x remains a diagnostic failure at 0.22 s; cross-solver comparison smoke passes exact contract identity
11	Versioned entrypoint-bound bundle hashes	Entrypoint identity was added to aggregate hashes under legacy v0.1 domains	MJCF, URDF, and directory bundle digests now use explicit v0.2 domains and advertise entrypoint binding	keep	Pre-hardening G0 bundle aggregates are superseded; individual member hashes remain unchanged and clean artifacts must be regenerated
12	Clean foundation reproduction	Foundation artifacts bound dirty SNMR/Newton trees or weaker path-only provenance	Detached clean SNMR 078d311, Newton 7bb6d02, and Isaac Lab 3c6e67b reproduce all torque gates, invariant metrics, and the 10k FK NPZ hash	keep	Clean reports carry all three revisions with dirty=false; wall time excluded from invariant comparison
13	Live PhysX FK retry	Prior capped worker returned no body poses within 60 s	Clean exact-asset worker again reaches 29-joint articulation initialization but returns no body poses within 240 s	keep	G0 remains g0_evaluated=false/g0_pass=false; no offline FK substitute or tolerance relaxation
14	Full repository verification	Fresh default-thread run stalled from CPU oversubscription; first bounded rerun exposed one host-local path in the E80 archival report	Logical artifact paths fix the anonymity audit; full single-thread suite passes 553 with 5 skips and 27 pre-existing warnings	keep	Command freezes OMP_NUM_THREADS=1 and MKL_NUM_THREADS=1; runtime 190.44 s
