iteration	change	verify	metric	decision	artifact
0	frozen seed-0 baseline	five-arm analyzer and command-destruction reports	A-T +0.1544 CI [0.0932,0.2147]; A-S +0.1871 CI [0.1368,0.2358]; explicit and content gates pass	keep; launch preregistered seeds 1-2 without tuning	/data/robotixx/snmr-research/e70/analysis_seed0.json
1	outcome-conditioned manuscript surgery	Tectonic build, page size, page count, and font embedding	5 letter pages; all fonts embedded; E70 table and teaser integrated; no TeX errors	keep; reserve space for confirmation aggregate and paired figure	/tmp/snmr-paper-build/main.pdf
2	training-seed uncertainty audit	7 focused analyzer/protocol tests and seed-0 replay	two-stage seed/pair bootstrap implemented; one-seed registered interval preserved; cross-seed grid fail-closed	keep before any seed-1/2 outcome exists	scripts/analyze_e67_results.py
3	E70 seed-1 explicit confirmation	2000-round train, general/ambiguity rollouts, and three command interventions	general 0.9199; ambiguity 0.9678; per-clip general 0.9805/0.8594; zero, shuffle, and marginal all 0.000	positive-control replication passes; license seed-1 A/T/B/S	/data/robotixx/snmr-research/e70/students/seed1_explicit
4	policy-independent paper-video selection	5 focused tests plus manifest replay against frozen seed-0 ambiguity grid	one reference-median pair; two clips; six exact-start captures; zero student outcome fields used for selection	keep; capture only after the frozen three-seed queue completes	autoresearch/iterate-260809-0351/e70_video_manifest.json
5	runtime-compatible offline WBT exports	4 wrapper tests, ONNX checker, and ONNX Runtime CPU parity at start/middle/end frames	SNMR and higher-reliability explicit G1 models; worst max absolute error 3.31e-6 under 1e-5 gate; gains, per-joint scales, URDF, hashes embedded	keep as deployment-stage artifacts; sim-to-sim and hardware safety gates remain	exports/e70_video/deployment
6	executable-method and video-production audit	Tectonic rebuild, primary-source bibliography check, 10 focused tests, and synthetic end-to-end composition smoke	paper corrected from stale CVAE description to frozen deterministic E70 recipe; 6 letter pages; 70 s 1080p/30 progressive H.264 smoke passes size/duration checks	keep; populate cards only from final analyzer and replace synthetic inputs with frozen raw captures after queue completion	paper/main.tex; scripts/compose_e70_video.py
7	confirmation interruption recovery	audit partial checkpoint contract, quarantine interrupted directory, bash syntax check, and detached 26000-MiB capacity supervisor	seed-2 proprio interruption at logged round 1550 cannot be resumed exactly; partial hashes preserved; supervisor waiting without changing completed cells	keep; restart seed-2 proprio at round 0 under the frozen launcher, then shuffled and the preregistered analyzer	autoresearch/iterate-260809-0351/e70_seed2_proprio_interruption.json; scripts/run_e70_recovery_supervisor.sh
8	failure-honest video provenance	14 focused tests, Python compilation, full Tyro parse, ffprobe, and visual 1080p panel smoke	capture index binds manifest, raw hashes, executed steps, frame counts, completion, survival, and a frozen pelvis-tracking camera; panels label completed versus terminated; 19 MB hard gate	keep; use the capture index as a required composition input and inspect the final contact sheet	scripts/index_e70_video_captures.py; scripts/compose_e70_video.py
9	machine-bound manuscript quantities	3 generator tests plus combined 13-test paper/video provenance check	generator rejects nonfinal seed sets and emits hash-stamped LaTeX macros for all five arms, hierarchical contrasts, per-seed effects, and per-clip effects	keep; generate paper/e70_results.tex only from the frozen seed0-1-2 analyzer after completion	scripts/render_e70_paper_values.py
10	capture-execution contract audit	full 244-pass/4-skip regression suite with bounded CPU threads, 26 focused provenance tests, Python compilation, shell syntax checks, full Tyro parse, and frozen-hash replay	dedicated evaluator preserves all five frozen confirmation hashes; exact starts and successful-horizon finalization are checked; marginal destruction uses a 1024-environment contemporaneous pool instead of an invalid singleton standard deviation	keep; use the non-frozen evaluator for the six preregistered captures	scripts/eval_e70_video.py; scripts/e70_video_runtime.py; scripts/run_e70_video.sh
11	final-result binding and unattended postprocess	fallback and synthetic-final Tectonic builds, strict three-seed generator/compositor tests, PDF page/size/font inspection, and detached supervisor liveness check	both manuscript branches build to 6 letter pages with embedded fonts; final macros require exactly seeds 0/1/2 and 69 clusters; postprocess waits for assay completion and a 26000-MiB video capacity gate	keep; leave the paper in explicit seed-0 fallback until analyzer output exists, then generate paper/video without manual value transcription	paper/main.tex; scripts/run_e70_postprocess_supervisor.sh
